"","eventDate","samplingEffort","samplingProtocol"
"48",2022-10-18,"82 Trap Nights","Camera Trapping"
"49",2022-10-22,"82 Trap Nights","Camera Trapping"
"50",2013-07-23,NA,"Captured-cage trap"
"51",2022-12-19,"55 Trap Nights","Camera Trapping"
"52",2022-10-28,"82 Trap Nights","Camera Trapping"
"53",2022-09-28,"82 Trap Nights","Camera Trapping"
"54",2022-10-18,"82 Trap Nights","Camera Trapping"
"55",2022-12-15,"55 Trap Nights","Camera Trapping"
"56",2022-12-14,"10 Trap Nights","Cage Trapping"
"57",2022-10-21,"82 Trap Nights","Camera Trapping"
"58",NA,NA,"TRAP"
"59",2022-11-26,"55 Trap Nights","Camera Trapping"
"60",2022-10-02,"82 Trap Nights","Camera Trapping"
"61",2022-12-04,"55 Trap Nights","Camera Trapping"
"62",2022-11-18,"55 Trap Nights","Camera Trapping"
"63",2022-12-29,"55 Trap Nights","Camera Trapping"
"64",2022-11-23,"55 Trap Nights","Camera Trapping"
"65",2022-12-15,"55 Trap Nights","Camera Trapping"
"66",NA,NA,NA
"67",2022-09-19,"82 Trap Nights","Camera Trapping"
"68",2016-05-04,NA,"Captured-cage trap"
"69",2022-11-30,"55 Trap Nights","Camera Trapping"
"70",2022-12-16,"10 Trap Nights","Cage Trapping"
"71",2022-10-29,"82 Trap Nights","Camera Trapping"
"72",2022-11-22,"55 Trap Nights","Camera Trapping"
"73",2022-11-26,"55 Trap Nights","Camera Trapping"
"74",2022-09-12,"82 Trap Nights","Camera Trapping"
"75",NA,NA,NA
"76",NA,NA,NA
"77",2022-10-13,"82 Trap Nights","Camera Trapping"
"78",2022-12-09,"55 Trap Nights","Camera Trapping"
"79",2022-12-04,"55 Trap Nights","Camera Trapping"
"80",2022-10-09,"82 Trap Nights","Camera Trapping"
"81",2022-10-18,"82 Trap Nights","Camera Trapping"
"82",2022-10-14,"82 Trap Nights","Camera Trapping"
"83",NA,NA,NA
"84",2022-09-17,"82 Trap Nights","Camera Trapping"
"85",2022-11-04,"82 Trap Nights","Camera Trapping"
"86",2022-11-24,"55 Trap Nights","Camera Trapping"
"87",2022-09-17,"82 Trap Nights","Camera Trapping"
"88",2022-12-29,"55 Trap Nights","Camera Trapping"
"89",2022-12-13,"8 Trap Nights","Cage Trapping"
"90",2022-10-22,"82 Trap Nights","Camera Trapping"
"91",2022-12-19,"55 Trap Nights","Camera Trapping"
"92",2022-10-18,"82 Trap Nights","Camera Trapping"
"93",2022-10-09,"82 Trap Nights","Camera Trapping"
"94",2022-12-14,"8 Trap Nights","Cage Trapping"
"95",2022-10-02,"82 Trap Nights","Camera Trapping"
"96",2022-10-25,"82 Trap Nights","Camera Trapping"
"97",2022-09-25,"82 Trap Nights","Camera Trapping"
"98",2022-10-18,"82 Trap Nights","Camera Trapping"
"99",2022-10-09,"82 Trap Nights","Camera Trapping"
"100",2022-12-04,"55 Trap Nights","Camera Trapping"
"101",2022-09-13,"82 Trap Nights","Camera Trapping"
"102",2022-11-14,"55 Trap Nights","Camera Trapping"
"103",2022-12-08,"55 Trap Nights","Camera Trapping"
"104",2022-11-29,"55 Trap Nights","Camera Trapping"
"105",2022-11-16,"55 Trap Nights","Camera Trapping"
"106",2022-12-16,"8 Trap Nights","Cage Trapping"
"107",2022-10-12,"82 Trap Nights","Camera Trapping"
"108",2022-12-18,"55 Trap Nights","Camera Trapping"
"109",2022-12-20,"55 Trap Nights","Camera Trapping"
"110",NA,NA,NA
"111",2013-07-24,NA,"Captured-cage trap"
"112",2022-11-19,"55 Trap Nights","Camera Trapping"
"113",2022-10-13,"82 Trap Nights","Camera Trapping"
"114",2022-09-30,"82 Trap Nights","Camera Trapping"
"115",2022-12-16,"8 Trap Nights","Cage Trapping"
"116",2022-11-20,"55 Trap Nights","Camera Trapping"
"117",2022-10-15,"82 Trap Nights","Camera Trapping"
"118",NA,NA,NA
"119",NA,NA,NA
"120",2022-12-18,"55 Trap Nights","Camera Trapping"
"121",2022-10-27,"82 Trap Nights","Camera Trapping"
"122",2021-08-31,NA,"Captured-cage trap"
"123",2022-12-17,"55 Trap Nights","Camera Trapping"
"124",2022-10-11,"82 Trap Nights","Camera Trapping"
"125",2022-10-27,"82 Trap Nights","Camera Trapping"
"126",2022-10-12,"82 Trap Nights","Camera Trapping"
"127",2016-05-06,NA,"Captured-cage trap"
"128",2022-12-15,"8 Trap Nights","Cage Trapping"
"129",2016-05-04,NA,"Captured-cage trap"
"130",2013-07-23,NA,"Captured-cage trap"
"131",2016-05-06,NA,"Captured-cage trap"
"132",2022-12-25,"55 Trap Nights","Camera Trapping"
"133",2021-09-03,NA,"Captured-cage trap"
"134",2022-09-19,"82 Trap Nights","Camera Trapping"
"135",2016-05-04,NA,"Captured-cage trap"
"136",2022-11-10,"55 Trap Nights","Camera Trapping"
"137",NA,NA,NA
"138",NA,NA,NA
"139",2022-10-01,"78 Trap Nights","Camera Trapping"
"140",2022-10-22,"82 Trap Nights","Camera Trapping"
"141",NA,NA,NA
"142",2022-09-12,"82 Trap Nights","Camera Trapping"
"143",2022-10-10,"82 Trap Nights","Camera Trapping"
"144",2022-09-25,"82 Trap Nights","Camera Trapping"
"145",NA,NA,NA
"146",2022-10-25,"82 Trap Nights","Camera Trapping"
"147",2022-10-01,"78 Trap Nights","Camera Trapping"
"148",2022-10-29,"82 Trap Nights","Camera Trapping"
"149",2016-05-03,NA,"Captured-cage trap"
"150",2022-11-13,"55 Trap Nights","Camera Trapping"
"151",2022-10-04,"82 Trap Nights","Camera Trapping"
"152",2022-11-16,"55 Trap Nights","Camera Trapping"
"153",2021-09-23,"172 Trap Nights","Camera Trapping"
"154",2022-10-16,"82 Trap Nights","Camera Trapping"
"155",2016-05-06,NA,"Captured-cage trap"
"156",2022-10-12,"82 Trap Nights","Camera Trapping"
"157",NA,NA,NA
"158",2016-05-04,NA,"Captured-cage trap"
"159",2021-09-05,"172 Trap Nights","Camera Trapping"
"160",2022-11-12,"55 Trap Nights","Camera Trapping"
"161",2016-05-06,NA,"Captured-cage trap"
"162",2022-10-05,"82 Trap Nights","Camera Trapping"
"163",2016-05-03,NA,"Captured-cage trap"
"164",2021-09-01,NA,"Captured-cage trap"
"165",2022-11-03,"82 Trap Nights","Camera Trapping"
"166",2013-07-23,NA,"Captured-cage trap"
"167",2022-10-17,"82 Trap Nights","Camera Trapping"
"168",2022-12-09,"55 Trap Nights","Camera Trapping"
"169",NA,NA,NA
"170",2021-09-20,"172 Trap Nights","Camera Trapping"
"171",2021-11-22,"172 Trap Nights","Camera Trapping"
"172",2010-10-13,NA,"Sign-dropping"
"173",2022-09-15,"82 Trap Nights","Camera Trapping"
"174",2001-03-21,NA,"Captured-cage trap"
"175",2022-12-09,"55 Trap Nights","Camera Trapping"
"176",2022-11-08,"55 Trap Nights","Camera Trapping"
"177",2016-05-04,NA,"Captured-cage trap"
"178",2022-12-18,"55 Trap Nights","Camera Trapping"
"179",2021-09-01,NA,"Captured-cage trap"
"180",2021-10-16,"172 Trap Nights","Camera Trapping"
"181",2022-11-03,"82 Trap Nights","Camera Trapping"
"182",2013-07-23,NA,"Captured-cage trap"
"183",2022-10-23,"82 Trap Nights","Camera Trapping"
"184",2022-11-16,"55 Trap Nights","Camera Trapping"
"185",NA,NA,"BY HAND"
"186",2022-12-08,"55 Trap Nights","Camera Trapping"
"187",2022-10-15,"82 Trap Nights","Camera Trapping"
"188",2021-08-31,NA,"Captured-cage trap"
"189",2022-12-25,"55 Trap Nights","Camera Trapping"
"190",2013-07-24,NA,"Captured-cage trap"
"191",2016-05-03,NA,"Captured-cage trap"
"192",2022-11-12,"55 Trap Nights","Camera Trapping"
"193",2022-11-15,"55 Trap Nights","Camera Trapping"
"194",2013-07-24,NA,"Captured-cage trap"
"195",2022-11-14,"55 Trap Nights","Camera Trapping"
"196",2021-12-31,"172 Trap Nights","Camera Trapping"
"197",2022-10-10,"82 Trap Nights","Camera Trapping"
"198",2013-07-24,NA,"Captured-cage trap"
"199",2016-05-06,NA,"Captured-cage trap"
"200",2022-09-08,"82 Trap Nights","Camera Trapping"
"201",2021-09-20,"172 Trap Nights","Camera Trapping"
"202",1996-11-14,NA,"Captured-cage trap"
"203",2022-11-02,"78 Trap Nights","Camera Trapping"
"204",2022-11-09,"55 Trap Nights","Camera Trapping"
"205",2022-10-11,"82 Trap Nights","Camera Trapping"
"206",2013-07-23,NA,"Captured-cage trap"
"207",2022-10-16,"82 Trap Nights","Camera Trapping"
"208",NA,NA,"PICK UP"
"209",2021-11-19,"172 Trap Nights","Camera Trapping"
"210",2022-12-28,"55 Trap Nights","Camera Trapping"
"211",2022-09-09,"82 Trap Nights","Camera Trapping"
"212",NA,NA,NA
"213",2022-11-24,"55 Trap Nights","Camera Trapping"
"214",2021-09-22,"172 Trap Nights","Camera Trapping"
"215",2022-10-15,"82 Trap Nights","Camera Trapping"
"216",2016-05-04,NA,"Captured-cage trap"
"217",2022-09-27,"82 Trap Nights","Camera Trapping"
"218",2022-11-25,"55 Trap Nights","Camera Trapping"
"219",2022-12-06,"59 Trap Nights","Camera Trapping"
"220",2014-04-15,NA,"Observed-spotlighting"
"221",2022-10-12,"82 Trap Nights","Camera Trapping"
"222",2013-07-25,NA,"Captured-cage trap"
"223",2022-12-11,"55 Trap Nights","Camera Trapping"
"224",2022-12-21,"55 Trap Nights","Camera Trapping"
"225",2022-10-02,"82 Trap Nights","Camera Trapping"
"226",2022-10-28,"82 Trap Nights","Camera Trapping"
"227",2022-11-03,"82 Trap Nights","Camera Trapping"
"228",2022-09-30,"82 Trap Nights","Camera Trapping"
"229",2022-12-02,"55 Trap Nights","Camera Trapping"
"230",2016-05-05,NA,"Captured-cage trap"
"231",2022-10-17,"82 Trap Nights","Camera Trapping"
"232",2022-09-21,"82 Trap Nights","Camera Trapping"
"233",2022-09-26,"82 Trap Nights","Camera Trapping"
"234",2022-09-25,"82 Trap Nights","Camera Trapping"
"235",2022-09-08,"82 Trap Nights","Camera Trapping"
"236",2016-05-02,NA,"Captured-cage trap"
"237",2022-10-26,"82 Trap Nights","Camera Trapping"
"238",2022-12-05,"55 Trap Nights","Camera Trapping"
"239",2022-09-17,"82 Trap Nights","Camera Trapping"
"240",2022-12-06,"55 Trap Nights","Camera Trapping"
"241",2021-09-01,NA,"Captured-cage trap"
"242",2022-12-15,"10 Trap Nights","Cage Trapping"
"243",2022-11-14,"55 Trap Nights","Camera Trapping"
"244",1996-11-15,NA,"Captured-cage trap"
"245",2013-07-23,NA,"Captured-cage trap"
"246",2022-12-03,"55 Trap Nights","Camera Trapping"
"247",2022-10-15,"82 Trap Nights","Camera Trapping"
"248",NA,NA,NA
"249",2021-03-25,NA,"Captured-cage trap"
"250",2022-09-18,"82 Trap Nights","Camera Trapping"
"251",2022-09-12,"82 Trap Nights","Camera Trapping"
"252",2013-07-25,NA,"Captured-cage trap"
"253",2021-09-22,"172 Trap Nights","Camera Trapping"
"254",2022-10-11,"82 Trap Nights","Camera Trapping"
"255",2022-09-15,"82 Trap Nights","Camera Trapping"
"256",2022-10-24,"82 Trap Nights","Camera Trapping"
"257",2022-10-24,"82 Trap Nights","Camera Trapping"
"258",2016-05-04,NA,"Captured-cage trap"
"259",2022-10-05,"82 Trap Nights","Camera Trapping"
"260",2016-05-03,NA,"Captured-cage trap"
"261",2022-09-17,"83 Trap Nights","Camera Trapping"
"262",2021-03-24,NA,"Captured-cage trap"
"263",NA,NA,NA
"264",2022-12-17,"55 Trap Nights","Camera Trapping"
"265",2022-12-15,"8 Trap Nights","Cage Trapping"
"266",2022-09-11,"82 Trap Nights","Camera Trapping"
"267",2022-09-20,"82 Trap Nights","Camera Trapping"
"268",2022-03-01,"7 Trap Nights","Transect Spotlighting"
"269",2014-04-15,NA,"Observed-spotlighting"
"270",2022-10-19,"82 Trap Nights","Camera Trapping"
"271",NA,NA,NA
"272",2022-09-24,"82 Trap Nights","Camera Trapping"
"273",2022-11-18,"59 Trap Nights","Camera Trapping"
"274",2022-11-04,"82 Trap Nights","Camera Trapping"
"275",2021-12-31,"172 Trap Nights","Camera Trapping"
"276",NA,NA,"PICK UP"
"277",NA,NA,"ROAD KILL"
"278",2022-10-04,"82 Trap Nights","Camera Trapping"
"279",NA,NA,NA
"280",2022-09-14,"82 Trap Nights","Camera Trapping"
"281",2022-01-12,"172 Trap Nights","Camera Trapping"
"282",2022-10-29,"82 Trap Nights","Camera Trapping"
"283",2021-10-09,"172 Trap Nights","Camera Trapping"
"284",2021-09-02,"172 Trap Nights","Camera Trapping"
"285",2022-09-24,"82 Trap Nights","Camera Trapping"
"286",2022-10-11,"82 Trap Nights","Camera Trapping"
"287",NA,NA,NA
"288",2022-11-21,"55 Trap Nights","Camera Trapping"
"289",2022-11-24,"55 Trap Nights","Camera Trapping"
"290",2022-11-14,"55 Trap Nights","Camera Trapping"
"291",2022-12-01,"55 Trap Nights","Camera Trapping"
"292",2022-09-10,"82 Trap Nights","Camera Trapping"
"293",2022-09-14,"82 Trap Nights","Camera Trapping"
"294",2022-12-30,"55 Trap Nights","Camera Trapping"
"295",NA,NA,NA
"296",2022-12-12,"55 Trap Nights","Camera Trapping"
"297",2022-10-16,"82 Trap Nights","Camera Trapping"
"298",2022-11-20,"55 Trap Nights","Camera Trapping"
"299",2022-10-06,"82 Trap Nights","Camera Trapping"
"300",2022-09-26,"78 Trap Nights","Camera Trapping"
"301",2022-10-16,"82 Trap Nights","Camera Trapping"
"302",2022-09-19,"82 Trap Nights","Camera Trapping"
"303",2021-11-20,"172 Trap Nights","Camera Trapping"
"304",2022-12-09,"55 Trap Nights","Camera Trapping"
"305",2022-09-24,"82 Trap Nights","Camera Trapping"
"306",2016-05-05,NA,"Captured-cage trap"
"307",2022-10-02,"82 Trap Nights","Camera Trapping"
"308",2022-09-25,"82 Trap Nights","Camera Trapping"
"309",2022-09-18,"82 Trap Nights","Camera Trapping"
"310",NA,NA,NA
"311",2022-09-12,"78 Trap Nights","Camera Trapping"
"312",2022-10-31,"82 Trap Nights","Camera Trapping"
"313",2022-10-29,"82 Trap Nights","Camera Trapping"
"314",1991-11-25,NA,"Sign-tracks"
"315",2022-12-22,"55 Trap Nights","Camera Trapping"
"316",2022-10-08,"82 Trap Nights","Camera Trapping"
"317",2022-09-12,"82 Trap Nights","Camera Trapping"
"318",NA,NA,NA
"319",2022-12-08,"55 Trap Nights","Camera Trapping"
"320",2022-11-26,"55 Trap Nights","Camera Trapping"
"321",2022-12-29,"55 Trap Nights","Camera Trapping"
"322",2022-10-26,"82 Trap Nights","Camera Trapping"
"323",2022-10-29,"82 Trap Nights","Camera Trapping"
"324",2022-09-22,"82 Trap Nights","Camera Trapping"
"325",2022-10-23,"82 Trap Nights","Camera Trapping"
"326",2022-10-14,"78 Trap Nights","Camera Trapping"
"327",2021-03-26,NA,"Captured-cage trap"
"328",2022-10-25,"82 Trap Nights","Camera Trapping"
"329",2022-09-10,"82 Trap Nights","Camera Trapping"
"330",2016-05-04,NA,"Captured-cage trap"
"331",2022-09-19,"78 Trap Nights","Camera Trapping"
"332",2022-10-24,"82 Trap Nights","Camera Trapping"
"333",NA,NA,NA
"334",2022-12-21,"55 Trap Nights","Camera Trapping"
"335",2022-10-25,"82 Trap Nights","Camera Trapping"
"336",2022-12-07,"55 Trap Nights","Camera Trapping"
"337",2022-12-07,"55 Trap Nights","Camera Trapping"
"338",2016-05-05,NA,"Captured-cage trap"
"339",2022-11-08,"55 Trap Nights","Camera Trapping"
"340",2022-10-12,"82 Trap Nights","Camera Trapping"
"341",2021-11-15,"172 Trap Nights","Camera Trapping"
"342",2022-12-06,"55 Trap Nights","Camera Trapping"
"343",2016-05-05,NA,"Captured-cage trap"
"344",2021-10-16,"172 Trap Nights","Camera Trapping"
"345",2021-09-02,NA,"Captured-cage trap"
"346",2022-11-21,"55 Trap Nights","Camera Trapping"
"347",2013-07-23,NA,"Captured-cage trap"
"348",2022-10-16,"82 Trap Nights","Camera Trapping"
"349",2022-09-13,"78 Trap Nights","Camera Trapping"
"350",NA,NA,NA
"351",2013-07-23,NA,"Captured-cage trap"
"352",2021-09-02,"172 Trap Nights","Camera Trapping"
"353",2016-05-05,NA,"Captured-cage trap"
"354",2022-10-19,"82 Trap Nights","Camera Trapping"
"355",2022-12-14,"8 Trap Nights","Cage Trapping"
"356",2016-05-05,NA,"Captured-cage trap"
"357",2022-09-16,"82 Trap Nights","Camera Trapping"
"358",NA,NA,NA
"359",2022-11-04,"82 Trap Nights","Camera Trapping"
"360",2016-05-04,NA,"Captured-cage trap"
"361",2022-09-26,"82 Trap Nights","Camera Trapping"
"362",NA,NA,NA
"363",2022-10-02,"82 Trap Nights","Camera Trapping"
"364",2016-05-06,NA,"Captured-cage trap"
"365",2016-05-03,NA,"Captured-cage trap"
"366",2022-09-25,"82 Trap Nights","Camera Trapping"
"367",2021-09-02,NA,"Captured-cage trap"
"368",2022-10-04,"78 Trap Nights","Camera Trapping"
"369",2022-12-19,"55 Trap Nights","Camera Trapping"
"370",2021-09-05,"172 Trap Nights","Camera Trapping"
"371",2022-09-11,"82 Trap Nights","Camera Trapping"
"372",2021-10-27,"172 Trap Nights","Camera Trapping"
"373",2016-05-04,NA,"Captured-cage trap"
"374",2022-11-09,"55 Trap Nights","Camera Trapping"
"375",2013-07-23,NA,"Captured-cage trap"
"376",2022-10-17,"82 Trap Nights","Camera Trapping"
"377",NA,NA,NA
"378",2016-05-03,NA,"Captured-cage trap"
"379",2016-05-04,NA,"Captured-cage trap"
"380",2022-12-13,"8 Trap Nights","Cage Trapping"
"381",2016-05-06,NA,"Captured-cage trap"
"382",2022-09-10,"82 Trap Nights","Camera Trapping"
"383",2022-09-24,"82 Trap Nights","Camera Trapping"
"384",2022-10-12,"82 Trap Nights","Camera Trapping"
"385",NA,NA,NA
"386",2022-12-04,"55 Trap Nights","Camera Trapping"
"387",2022-09-24,"82 Trap Nights","Camera Trapping"
"388",2022-12-14,"55 Trap Nights","Camera Trapping"
"389",2022-09-13,"82 Trap Nights","Camera Trapping"
"390",2022-10-19,"78 Trap Nights","Camera Trapping"
"391",2022-09-14,"82 Trap Nights","Camera Trapping"
"392",2021-12-09,"172 Trap Nights","Camera Trapping"
"393",2022-12-17,"55 Trap Nights","Camera Trapping"
"394",2022-11-10,"55 Trap Nights","Camera Trapping"
"395",2022-10-23,"82 Trap Nights","Camera Trapping"
"396",2022-10-11,"82 Trap Nights","Camera Trapping"
"397",2022-09-20,"82 Trap Nights","Camera Trapping"
"398",2021-03-23,NA,"Captured-cage trap"
"399",2022-09-27,"82 Trap Nights","Camera Trapping"
"400",2016-05-05,NA,"Captured-cage trap"
"401",2016-05-06,NA,"Captured-cage trap"
"402",2022-12-11,"55 Trap Nights","Camera Trapping"
"403",2022-12-20,"55 Trap Nights","Camera Trapping"
"404",2022-09-10,"82 Trap Nights","Camera Trapping"
"405",2021-08-30,NA,"Captured-cage trap"
"406",2022-09-22,"78 Trap Nights","Camera Trapping"
"407",2022-12-08,"59 Trap Nights","Camera Trapping"
"408",2016-05-03,NA,"Captured-cage trap"
"409",2022-12-20,"55 Trap Nights","Camera Trapping"
"410",2022-10-24,"82 Trap Nights","Camera Trapping"
"411",2022-10-21,"82 Trap Nights","Camera Trapping"
"412",2022-09-25,"82 Trap Nights","Camera Trapping"
"413",2021-03-26,NA,"Captured-cage trap"
"414",2022-09-16,"78 Trap Nights","Camera Trapping"
"415",2014-04-15,NA,"Observed-spotlighting"
"416",2022-11-25,"55 Trap Nights","Camera Trapping"
"417",2022-12-13,"8 Trap Nights","Cage Trapping"
"418",2016-05-06,NA,"Captured-cage trap"
"419",2022-12-16,"55 Trap Nights","Camera Trapping"
"420",2022-09-15,"82 Trap Nights","Camera Trapping"
"421",2022-12-09,"55 Trap Nights","Camera Trapping"
"422",2021-11-22,"172 Trap Nights","Camera Trapping"
"423",2016-05-05,NA,"Captured-cage trap"
"424",NA,NA,NA
"425",2022-12-16,"55 Trap Nights","Camera Trapping"
"426",2016-05-03,NA,"Captured-cage trap"
"427",2022-11-20,"55 Trap Nights","Camera Trapping"
"428",2022-11-23,"55 Trap Nights","Camera Trapping"
"429",2022-12-21,"55 Trap Nights","Camera Trapping"
"430",2021-03-24,NA,"Captured-cage trap"
"431",2016-05-04,NA,"Captured-cage trap"
"432",NA,NA,NA
"433",2022-12-08,"55 Trap Nights","Camera Trapping"
"434",2016-05-05,NA,"Captured-cage trap"
"435",2022-11-03,"82 Trap Nights","Camera Trapping"
"436",2016-05-04,NA,"Captured-cage trap"
"437",2022-11-02,"82 Trap Nights","Camera Trapping"
"438",2021-11-06,"172 Trap Nights","Camera Trapping"
"439",2022-12-03,"55 Trap Nights","Camera Trapping"
"440",2021-09-01,NA,"Captured-cage trap"
"441",2022-11-24,"55 Trap Nights","Camera Trapping"
"442",2022-11-21,"55 Trap Nights","Camera Trapping"
"443",2022-09-23,"82 Trap Nights","Camera Trapping"
"444",2022-10-12,"82 Trap Nights","Camera Trapping"
"445",2022-12-29,"59 Trap Nights","Camera Trapping"
"446",2022-11-21,"55 Trap Nights","Camera Trapping"
"447",2022-12-20,"55 Trap Nights","Camera Trapping"
"448",2022-11-04,"82 Trap Nights","Camera Trapping"
"449",2022-10-02,"82 Trap Nights","Camera Trapping"
"450",2022-09-14,"78 Trap Nights","Camera Trapping"
"451",2022-12-14,"55 Trap Nights","Camera Trapping"
"452",2022-09-10,"78 Trap Nights","Camera Trapping"
"453",2021-12-16,"172 Trap Nights","Camera Trapping"
"454",2022-12-09,"55 Trap Nights","Camera Trapping"
"455",2022-11-06,"82 Trap Nights","Camera Trapping"
"456",2022-10-21,"82 Trap Nights","Camera Trapping"
"457",2022-09-19,"82 Trap Nights","Camera Trapping"
"458",2022-12-12,"8 Trap Nights","Cage Trapping"
"459",2022-09-28,"82 Trap Nights","Camera Trapping"
"460",2022-11-15,"55 Trap Nights","Camera Trapping"
"461",NA,NA,NA
"462",2022-10-17,"82 Trap Nights","Camera Trapping"
"463",2022-10-29,"82 Trap Nights","Camera Trapping"
"464",2022-11-02,"82 Trap Nights","Camera Trapping"
"465",2022-09-20,"82 Trap Nights","Camera Trapping"
"466",2013-07-23,NA,"Captured-cage trap"
"467",2022-09-13,"82 Trap Nights","Camera Trapping"
"468",2022-10-22,"82 Trap Nights","Camera Trapping"
"469",NA,NA,NA
"470",2022-10-13,"82 Trap Nights","Camera Trapping"
"471",2022-10-26,"82 Trap Nights","Camera Trapping"
"472",2022-11-05,"59 Trap Nights","Camera Trapping"
"473",2022-10-05,"82 Trap Nights","Camera Trapping"
"474",2022-12-13,"8 Trap Nights","Cage Trapping"
"475",2022-10-02,"82 Trap Nights","Camera Trapping"
"476",2022-12-19,"59 Trap Nights","Camera Trapping"
"477",NA,NA,NA
"478",2022-10-13,"78 Trap Nights","Camera Trapping"
"479",2022-09-12,"82 Trap Nights","Camera Trapping"
"480",2021-09-22,"172 Trap Nights","Camera Trapping"
"481",2016-05-03,NA,"Captured-cage trap"
"482",2022-12-21,"55 Trap Nights","Camera Trapping"
"483",2022-11-27,"55 Trap Nights","Camera Trapping"
"484",2022-10-31,"78 Trap Nights","Camera Trapping"
"485",NA,NA,NA
"486",2021-11-19,"172 Trap Nights","Camera Trapping"
"487",2014-03-19,NA,"Observed-spotlighting"
"488",2022-09-18,"78 Trap Nights","Camera Trapping"
"489",2016-05-04,NA,"Captured-cage trap"
"490",2022-11-27,"55 Trap Nights","Camera Trapping"
"491",2022-09-13,"82 Trap Nights","Camera Trapping"
"492",2016-05-03,NA,"Captured-cage trap"
"493",2022-09-20,"82 Trap Nights","Camera Trapping"
"494",2022-09-28,"82 Trap Nights","Camera Trapping"
"495",2022-10-20,"82 Trap Nights","Camera Trapping"
"496",2022-12-26,"55 Trap Nights","Camera Trapping"
"497",2022-10-27,"82 Trap Nights","Camera Trapping"
"498",2022-09-25,"82 Trap Nights","Camera Trapping"
"499",2022-09-24,"82 Trap Nights","Camera Trapping"
"500",2022-12-15,"10 Trap Nights","Cage Trapping"
"501",2022-11-15,"55 Trap Nights","Camera Trapping"
"502",2022-09-10,"82 Trap Nights","Camera Trapping"
"503",2021-09-01,"172 Trap Nights","Camera Trapping"
"504",2022-09-13,"82 Trap Nights","Camera Trapping"
"505",2022-10-16,"82 Trap Nights","Camera Trapping"
"506",2022-09-19,"82 Trap Nights","Camera Trapping"
"507",2022-09-12,"82 Trap Nights","Camera Trapping"
"508",2021-10-17,"172 Trap Nights","Camera Trapping"
"509",2022-09-28,"82 Trap Nights","Camera Trapping"
"510",2016-05-03,NA,"Captured-cage trap"
"511",2022-12-16,"55 Trap Nights","Camera Trapping"
"512",2022-10-07,"82 Trap Nights","Camera Trapping"
"513",2013-07-23,NA,"Captured-cage trap"
"514",2013-07-25,NA,"Captured-cage trap"
"515",2022-10-24,"82 Trap Nights","Camera Trapping"
"516",NA,NA,NA
"517",2022-10-11,"78 Trap Nights","Camera Trapping"
"518",2022-09-27,"82 Trap Nights","Camera Trapping"
"519",2013-07-23,NA,"Captured-cage trap"
"520",2022-09-22,"82 Trap Nights","Camera Trapping"
"521",2022-12-08,"55 Trap Nights","Camera Trapping"
